@relation abc-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R6

@attribute DAY_OF_MONTH numeric
@attribute DAY_OF_WEEK numeric
@attribute CARRIER {AA,B6,DL,EV,MQ,OO,UA,WN}
@attribute ORIGIN {JFK,LAX,DFW,ORD,BOS,DEN,EWR}
@attribute DEP_TIME numeric
@attribute DISTANCE numeric
@attribute DEP_DEL15 {notdelayed,delayed}

@data
21,1,OO,ORD,2,0,delayed
20,7,AA,LAX,0,4,notdelayed
4,5,EV,EWR,2,2,delayed
5,6,OO,LAX,2,1,delayed
11,5,MQ,ORD,2,2,notdelayed
19,6,EV,ORD,1,2,notdelayed
15,2,WN,LAX,1,4,delayed
20,7,UA,LAX,2,9,delayed
3,4,UA,EWR,2,0,delayed
18,5,AA,ORD,1,2,delayed
15,2,EV,DFW,1,1,delayed
6,7,AA,DFW,1,4,delayed
28,1,OO,ORD,1,1,delayed
30,3,B6,BOS,2,4,delayed
1,2,UA,ORD,1,2,notdelayed
30,3,B6,JFK,1,0,delayed
18,5,UA,EWR,1,4,notdelayed
10,4,MQ,ORD,2,0,delayed
9,3,AA,DFW,2,5,delayed
9,3,B6,BOS,0,1,notdelayed
24,4,UA,EWR,1,9,notdelayed
14,1,WN,LAX,2,2,delayed
27,7,WN,LAX,1,1,notdelayed
18,5,DL,JFK,1,4,delayed
4,5,WN,DEN,2,5,delayed
25,5,UA,ORD,1,8,notdelayed
12,6,AA,DFW,1,4,notdelayed
3,4,WN,LAX,2,0,delayed
11,5,WN,DEN,1,4,notdelayed
17,4,DL,DEN,1,2,notdelayed
2,3,DL,BOS,1,2,delayed
6,7,OO,DEN,1,1,notdelayed
19,6,WN,DEN,0,2,notdelayed
17,4,WN,BOS,0,6,notdelayed
9,3,OO,ORD,2,4,notdelayed
30,3,DL,LAX,1,8,delayed
22,2,OO,DEN,1,1,notdelayed
30,3,B6,BOS,2,3,delayed
30,3,WN,DEN,1,3,notdelayed
17,4,MQ,ORD,1,0,delayed
15,2,MQ,ORD,2,0,notdelayed
3,4,OO,ORD,1,2,notdelayed
22,2,WN,LAX,2,3,delayed
28,1,B6,BOS,2,0,delayed
9,3,AA,JFK,0,9,notdelayed
29,2,EV,ORD,1,2,delayed
7,1,AA,EWR,1,2,delayed
2,3,AA,JFK,1,4,delayed
21,1,OO,DEN,1,3,delayed
29,2,B6,JFK,0,6,delayed
15,2,EV,ORD,1,3,notdelayed
4,5,AA,ORD,1,6,notdelayed
20,7,MQ,ORD,2,1,delayed
10,4,B6,JFK,2,0,delayed
8,2,MQ,ORD,2,0,delayed
30,3,B6,JFK,1,0,delayed
8,2,AA,DFW,2,4,delayed
10,4,B6,JFK,1,3,delayed
29,2,OO,ORD,1,1,notdelayed
21,1,WN,DEN,2,3,delayed
8,2,B6,JFK,1,2,delayed
30,3,AA,DFW,1,5,notdelayed
10,4,MQ,ORD,2,0,delayed
13,7,UA,LAX,2,6,delayed
1,2,UA,LAX,0,9,notdelayed
14,1,B6,JFK,2,0,delayed
29,2,OO,ORD,2,1,delayed
17,4,B6,EWR,1,0,notdelayed
5,6,MQ,ORD,2,2,delayed
14,1,WN,DEN,2,6,delayed
1,2,AA,DFW,0,5,notdelayed
6,7,OO,ORD,1,3,notdelayed
5,6,AA,DFW,1,5,notdelayed
14,1,WN,DEN,2,3,notdelayed
7,1,AA,DFW,2,2,delayed
22,2,AA,LAX,2,1,notdelayed
9,3,UA,EWR,2,4,delayed
18,5,MQ,ORD,2,2,delayed
10,4,AA,DFW,1,2,notdelayed
15,2,UA,ORD,2,0,notdelayed
7,1,B6,BOS,2,10,delayed
3,4,MQ,DFW,2,1,delayed
23,3,OO,DEN,1,2,delayed
18,5,AA,DFW,1,4,notdelayed
8,2,WN,LAX,2,1,delayed
14,1,MQ,DFW,1,0,notdelayed
15,2,OO,ORD,1,0,delayed
14,1,MQ,DFW,2,0,notdelayed
