@relation abc-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R6

@attribute DAY_OF_MONTH numeric
@attribute DAY_OF_WEEK numeric
@attribute CARRIER {AA,B6,DL,EV,MQ,OO,UA,WN}
@attribute ORIGIN {JFK,LAX,DFW,ORD,BOS,DEN,EWR}
@attribute DEP_TIME numeric
@attribute DISTANCE numeric
@attribute DEP_DEL15 {notdelayed,delayed}

@data
30,3,UA,BOS,2,3,?
7,1,WN,BOS,2,1,?
27,7,MQ,DFW,1,0,?
30,3,OO,LAX,2,0,?
8,2,OO,DEN,2,1,?
2,3,MQ,DFW,1,3,?
13,7,OO,ORD,0,0,?
1,2,WN,LAX,2,0,?
24,4,AA,LAX,0,9,?
8,2,AA,DFW,0,3,?
16,3,UA,ORD,1,3,?
8,2,WN,DEN,2,2,?
4,5,UA,DEN,1,4,?
14,1,B6,JFK,2,9,?
22,2,AA,DFW,1,3,?
26,6,WN,LAX,0,3,?
7,1,AA,ORD,0,4,?
18,5,AA,DFW,2,3,?
18,5,UA,JFK,1,10,?
3,4,OO,ORD,2,0,?
17,4,UA,LAX,0,3,?
13,7,MQ,DFW,2,1,?
14,1,AA,DFW,0,6,?
4,5,OO,DEN,0,1,?
14,1,UA,ORD,1,2,?
15,2,WN,DEN,0,3,?
7,1,AA,ORD,2,6,?
4,5,MQ,ORD,2,0,?
5,6,MQ,ORD,2,0,?
17,4,MQ,ORD,0,1,?
22,2,OO,ORD,2,0,?
25,5,WN,LAX,2,1,?
12,6,OO,LAX,1,0,?
10,4,AA,DFW,1,1,?
17,4,AA,DFW,1,4,?
9,3,B6,JFK,2,2,?
22,2,WN,LAX,0,5,?
20,7,WN,LAX,1,3,?
21,1,AA,LAX,1,1,?
18,5,MQ,ORD,2,0,?
30,3,DL,ORD,1,2,?
4,5,EV,ORD,2,0,?
5,6,AA,DFW,2,6,?
3,4,B6,EWR,2,0,?
12,6,AA,ORD,1,4,?
30,3,UA,ORD,1,3,?
10,4,EV,EWR,1,2,?
22,2,UA,BOS,2,10,?
6,7,OO,LAX,1,0,?
3,4,AA,LAX,2,9,?
29,2,UA,ORD,2,3,?
5,6,AA,DFW,2,3,?
28,1,AA,DFW,0,3,?
1,2,EV,ORD,0,2,?
17,4,UA,DFW,1,5,?
3,4,AA,DFW,2,4,?
21,1,UA,LAX,1,10,?
13,7,MQ,ORD,1,0,?
21,1,DL,LAX,2,1,?
8,2,AA,LAX,2,0,?
29,2,UA,DEN,1,4,?
21,1,WN,BOS,2,7,?
18,5,UA,LAX,2,9,?
5,6,AA,LAX,0,9,?
3,4,MQ,ORD,2,0,?
24,4,B6,BOS,1,9,?
14,1,B6,JFK,0,10,?
24,4,AA,DFW,2,4,?
20,7,MQ,ORD,2,0,?
10,4,OO,ORD,1,1,?
29,2,UA,ORD,2,6,?
3,4,EV,ORD,2,0,?
30,3,UA,DEN,2,2,?
30,3,OO,ORD,2,0,?
8,2,AA,EWR,0,2,?
18,5,MQ,DFW,2,1,?
5,6,WN,LAX,1,7,?
24,4,OO,LAX,2,4,?
30,3,UA,ORD,2,7,?
26,6,AA,LAX,2,10,?
10,4,B6,BOS,1,1,?
30,3,AA,BOS,2,1,?
27,7,WN,LAX,2,6,?
17,4,WN,DEN,2,3,?
29,2,WN,DEN,2,3,?
12,6,DL,JFK,2,7,?
13,7,AA,DFW,1,6,?
13,7,EV,ORD,2,1,?
8,2,WN,LAX,1,9,?
9,3,UA,DEN,0,3,?
17,4,AA,ORD,1,6,?
17,4,MQ,ORD,2,0,?
9,3,UA,BOS,2,3,?
19,6,AA,DFW,2,5,?
20,7,UA,DEN,0,3,?
30,3,EV,DFW,2,0,?
27,7,WN,LAX,1,5,?
10,4,UA,ORD,2,2,?
4,5,UA,ORD,1,2,?
20,7,UA,ORD,1,8,?
21,1,MQ,ORD,1,1,?
10,4,AA,DFW,1,4,?
3,4,UA,DEN,2,3,?
8,2,WN,DEN,2,4,?
18,5,WN,BOS,0,2,?
21,1,B6,JFK,1,10,?
3,4,EV,EWR,2,2,?
20,7,EV,EWR,1,4,?
15,2,UA,ORD,1,7,?
20,7,MQ,ORD,2,0,?
24,4,AA,LAX,1,9,?
8,2,UA,JFK,1,10,?
28,1,UA,EWR,2,9,?
4,5,UA,DEN,2,4,?
9,3,B6,EWR,2,3,?
2,3,AA,ORD,1,2,?
10,4,UA,DEN,2,3,?
10,4,AA,ORD,1,6,?
19,6,MQ,ORD,2,1,?
20,7,EV,DFW,1,0,?
10,4,UA,DEN,2,3,?
27,7,UA,DEN,1,9,?
11,5,AA,LAX,1,7,?
30,3,EV,EWR,1,1,?
3,4,AA,BOS,1,2,?
25,5,B6,BOS,2,4,?
11,5,WN,LAX,1,5,?
29,2,AA,DFW,1,4,?
5,6,UA,LAX,2,9,?
4,5,MQ,ORD,2,1,?
25,5,OO,ORD,1,1,?
4,5,OO,DEN,1,3,?
11,5,AA,BOS,2,1,?
20,7,EV,ORD,1,0,?
15,2,OO,ORD,1,1,?
10,4,UA,ORD,2,2,?
11,5,DL,JFK,2,6,?
6,7,OO,LAX,2,1,?
5,6,EV,EWR,1,1,?
16,3,UA,BOS,2,3,?
14,1,AA,JFK,1,0,?
20,7,AA,BOS,1,1,?
18,5,UA,DEN,2,3,?
18,5,EV,ORD,1,1,?
25,5,OO,ORD,2,2,?
28,1,DL,JFK,2,10,?
2,3,DL,JFK,1,4,?
5,6,AA,ORD,1,2,?
22,2,OO,LAX,1,1,?
29,2,AA,DFW,1,5,?
18,5,UA,DEN,1,3,?
17,4,B6,BOS,0,2,?
3,4,AA,DFW,2,5,?
25,5,OO,DEN,2,3,?
9,3,EV,DFW,2,0,?
1,2,WN,BOS,1,1,?
18,5,AA,ORD,2,3,?
13,7,DL,ORD,1,2,?
5,6,MQ,ORD,1,0,?
23,3,DL,LAX,1,2,?
17,4,UA,EWR,1,9,?
20,7,UA,DEN,1,6,?
10,4,B6,BOS,2,1,?
5,6,UA,LAX,2,4,?
24,4,B6,JFK,0,4,?
16,3,AA,DFW,0,4,?
24,4,MQ,ORD,1,0,?
30,3,WN,DEN,2,1,?
4,5,OO,ORD,2,0,?
17,4,EV,DFW,1,0,?
30,3,OO,DEN,2,2,?
3,4,OO,ORD,2,0,?
6,7,EV,DFW,2,2,?
